Mô hình,AP test,ROC AUC,Precision (3-4),Recall (3-4),F1 (3-4),Balanced accuracy,Brier,False negative,False positive,Runtime (s)
Baseline đã chọn (Decision Tree balanced),0.36675366368834783,0.7312158214490478,0.3005980484734026,0.6751502297631672,0.41598606120004356,0.6688711440365452,0.12898741891706123,919,4444,
Balanced Random Forest,0.37216955311546457,0.7367165950645289,0.29285499849894925,0.6896429833863557,0.41112633020756506,0.6659816162091599,0.13013808681268554,878,4711,608.2
