model,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_s1,recall_s1,f1_s1,precision_s2,recall_s2,f1_s2,precision_s3,recall_s3,f1_s3,precision_s4,recall_s4,f1_s4,best_cv_f1_macro
Decision Tree balanced,0.44875,0.4143290514547925,0.2558963000362894,0.5408642552187771,0.02156205079060853,0.4326923076923077,0.041077133728890915,0.8967477107672877,0.43468278870436977,0.5855368279985568,0.2849105887080571,0.5275297619047619,0.36999347684279194,0.014219830899308224,0.2624113475177305,0.026977761574917974,0.2558254881815808
Dummy - most frequent,0.8166875,0.25,0.22477379846561393,0.7342798061375444,0.0,0.0,0.0,0.8166875,1.0,0.8990951938624557,0.0,0.0,0.0,0.0,0.0,0.0,
Logistic Regression balanced,0.36575,0.36143143404064293,0.21827097102996532,0.4487624189802248,0.013293051359516616,0.4230769230769231,0.025776215582893967,0.8957937011202706,0.32432846100864776,0.47623328463872344,0.2554276315789474,0.5777529761904762,0.35424270072992703,0.009047365620010643,0.12056737588652482,0.016831683168316833,0.21231295712815595
