model,accuracy,balanced_accuracy,precision_severe,recall_severe,f1_severe,f1_macro,average_precision,roc_auc,best_cv_average_precision,brier_severe
Decision Tree balanced,0.6648125,0.6688711440365452,0.3005980484734026,0.6751502297631672,0.41598606120004356,0.590471007547035,0.3667532092522854,0.7312159288005915,0.35351887051339725,0.12898594457433132
Logistic Regression balanced,0.567625,0.6345425491735153,0.25263157894736843,0.7380699893955461,0.37641968631692807,0.5227549498264062,0.2793999795862374,0.6731485931352069,0.2722882321648005,
Dummy - prior,0.8231875,0.5,0.0,0.0,0.0,0.45151006136231187,0.1768125,0.5,,
